Pinyin,Hanzi,English,Category
nǐ hǎo,你好,Hello,Daily
zǎo shàng hǎo,早上好,Good Morning,Daily
xià wǔ hǎo,下午好,Good Afternoon,Daily
wǎn shàng hǎo,晚上好,Good Night,Daily
huān yíng,欢迎,Welcome,Daily
dǎ rǎo yī xià,打扰一下,Excuse Me,Daily
qǐng,请,Please,Daily
xiè xiè,谢谢,Thank You,Daily
duì bù qǐ,对不起,Sorry,Daily
zài jiàn,再见,See you,Daily
zài huí,再回,See you again,Daily
yě xǔ,也许,Maybe,Daily
dāng rán,当然,Of course,Daily
wǒ bù zhī dào,我不知道,I don't know,Daily
wǒ ài nǐ,我爱你,I love you,Daily
hēi sè,黑色,Black,Color
bái sè,白色,White,Color
hóng sè,红色,Red,Color
lù sè,录色,Green,Color
lán sè,蓝色,Blue,Color
fěn hóng sè,粉红色,Pink,Color
huáng sè,黄色,Yellow,Color
chéng sè,橙色,Orange,Color
huī sè,灰色,Gray,Color
zōng sè,棕色,Brown,Color
zǐ sè,紫色,Purple,Color
shēn lán sè,深蓝色,Light Blue,Color
qǐng lù sè,请录色,Turquoise,Color
mǐ sè,米色,Beige,Color
jīn sè,金色,Gold,Color
yín sè,银色,Silver,Color
hēi àn,黑暗,Dark,Color
guāng,光,Light ,Color
mǔ qīn,母亲,Mother,Family
fù qīn,父亲,Father,Family
xiōng dì,兄弟,Brother,Family
jiě jiě,姐姐,Sister,Family
ér zǐ,儿子,Son,Family
nǚ ér,女儿,Daughter,Family
shū shū,叔叔,Uncle,Family
ā yí,阿姨,Aunt,Family
biǎo gē,表哥,Cousin,Family
zhí nǚ,侄女,Niece,Family
zhí zǐ,侄子,Nephew,Family
zǔ fù,祖父,Grand father,Family
zǔ mǔ,祖母,Grand mother ,Family
sūn zǐ,孙子,Grand son,Family
sūn nǚ,孙女,Grand daugther,Family
tā mén de,他们的,Their,Family
bǎi,百,Hundred,Times
qiān,千,Thousand,Times
wàn,万,Million,Times
xīng qī rì,星期日,Sunday,Times
yuè,月,Month,Times
zuó tiān,昨天,Yesterday ,Times
jīn tiān,今天,Today,Times
míng tiān,明天,Tomorrow,Times
zǎo chén,早晨,Morning,Times
xià wǔ,下午,Afternoon,Times
yè wǎn,夜晚,Night,Times
miǎo zhōng,秒钟,Second,Times
fēn zhōng,分钟,Minute,Times
xiǎo shí,小时,Hour,Times
nián,年,Year,Times
zhōng wǔ,中午,Noon,Times
wǔ yè,午夜,Miidnight,Times
hòu lái,后来,Later,Times
zǎo xiē shí hòu,早些时候,Earlier,Times
zhàng fū,丈夫,Husband,Family second
qī zǐ,妻子,Wife,Family second
yuè mǔ,岳母,Mother-in-law,Family second
yuè fù,岳父,Father-in-law,Family second
mèi fū,妹夫,Brother-in-law,Family second
xí fù,媳妇,Daughter-in-law,Family second
sǎo zǐ,嫂子,Sister-in-law,Family second
nǚ xù,女婿,Son-in-law,Family second
jì nǚ,继女,Step-daughter,Family second
jì zǐ,继子,Step-son,Family second
jì fù,继父,Step-father,Family second
hòu mā,后妈,Step-mother,Family second
tóng yì huò,同异或,Step-sister,Family second
nán shēng,男生,Boy,Family second
nǚ hái,女孩,Girl,Family second
hái zǐ mén,孩子们,Children,Family second
nǚ rén,女人,Woman,Family second
nán rén,男人,Man,Family second
péng yǒu,朋友,Friend,Family second
xīn niáng,新娘,Bride,Family second
mǎ fū,马夫,Husband,Family second
lín jū,邻居,Neighbor,Family second
chūn tiān,春天,Spring,Season
xià tiān,夏天,Summer,Season
qiū jì,秋季,Fall,Season
dōng tiān,冬天,Winter,Season
shèng dàn jié,圣诞节,Christmas,Season
gǎn ēn jié,感恩节,Thankgiving,Season
wàn shèng jié,万圣节,Hallowen,Season
fù huó jié,复活节,Easter eve,Season
xīn nián,新年,New Year Eve,Season
duǎn kù,短裤,Shorts,Clothes
kù zǐ,裤子,Pants,Clothes
nǚ shì chèn shān,女式衬衫,Blouse,Clothes
